Sampling,Target,Train Rows,Test Rows,Train R2,Test R2,RMSE,B1 Pass
1min,CHL_POW_1,420432,105108,0.975868542865409,0.9705084497539924,2.9612339638376888,True
1min,CT_SW_TEMP_1,420432,105108,0.9987885617462567,0.9933307971426041,0.2540972355532584,True
1min,CHL_SW_TEMP_1,420432,105108,0.9974776829288077,0.9819126425962368,0.11865569085098268,True
1min,CHL_RWCD_TEMP_1,420432,105108,0.9983201521496787,0.9837225564287062,0.24307439848180065,True
15min,CHL_POW_1,28028,7008,0.9835483295110217,0.9737935557582067,2.7654895110915136,True
15min,CT_SW_TEMP_1,28028,7008,0.9989548262392093,0.9924985326857197,0.26942050259302885,True
15min,CHL_SW_TEMP_1,28028,7008,0.9979109905508535,0.9822038402786075,0.11757823424022311,True
15min,CHL_RWCD_TEMP_1,28028,7008,0.9985576659226558,0.9841725228696907,0.2395703522662778,True
1h,CHL_POW_1,7007,1752,0.9936161875994493,0.974692529714483,2.6938664437258124,True
1h,CT_SW_TEMP_1,7007,1752,0.9996464922790524,0.9948670240949989,0.22268144695846812,True
1h,CHL_SW_TEMP_1,7007,1752,0.9991249767925668,0.9891051253412158,0.09189682163859342,True
1h,CHL_RWCD_TEMP_1,7007,1752,0.9995627820253599,0.9887059487350601,0.20202249424061564,True
2h,CHL_POW_1,3504,876,0.9972290378047803,0.9385745170797074,4.128305716707617,True
2h,CT_SW_TEMP_1,3504,876,0.9997609047618955,0.9919541811985374,0.2780191645808506,True
2h,CHL_SW_TEMP_1,3504,876,0.9997147922248544,0.9795987210475852,0.12430293228301653,True
2h,CHL_RWCD_TEMP_1,3504,876,0.9997412474392634,0.9806059339688138,0.26312509813695506,True
