Target,Metric,Step1,Step2,Step3,No_Reversal
CT_SW_TEMP_1,AbsMean,0.09588401166611057,0.4210587345270466,0.6306512742142022,True
CT_SW_TEMP_1,RMS,0.05552208219732441,0.4649938053935077,0.7577945853447657,True
CT_SW_TEMP_1,P95,0.16027792133788493,0.855553510485849,1.392363428259267,True
CT_SW_TEMP_1,P99,0.21393212087401714,1.3711482847314478,2.497215772348639,True
CT_SW_TEMP_1,Std,0.028316242804958813,0.21602569932720317,0.3972122041279611,True
CHL_SW_TEMP_1,AbsMean,0.0028025163410329568,0.000785961874322394,0.003372789583593494,True
CHL_SW_TEMP_1,RMS,0.012430686216099218,0.005291517268327245,0.02578306195413732,True
CHL_SW_TEMP_1,P95,0.009590561157221678,0.0006782064575213131,0.006184781262209421,True
CHL_SW_TEMP_1,P99,0.0298736968017575,0.01053938735595028,0.021641034860843567,True
CHL_SW_TEMP_1,Std,0.012433775847630335,0.005293952862056001,0.025785268117423904,True
CHL_RWCD_TEMP_1,AbsMean,0.012816997634127122,0.1180955271915563,0.28049224228691605,True
CHL_RWCD_TEMP_1,RMS,0.02344930642670573,0.25813043878326014,0.5787410072368434,True
CHL_RWCD_TEMP_1,P95,0.15384211093749572,0.7502096621093809,1.227594577807618,True
CHL_RWCD_TEMP_1,P99,0.19438018237305077,1.3219174206054687,2.5396926467529295,True
CHL_RWCD_TEMP_1,Std,0.02152771274519999,0.2240849869316393,0.4993047023125101,True
CHL_POW_1,AbsMean,0.018271192219019294,0.11824251046364243,0.25229504008846737,True
CHL_POW_1,RMS,0.0357124125606445,0.3075637722724647,0.6424223796205784,True
CHL_POW_1,P95,0.1778870402090602,1.0734027537087183,2.5654002626310524,True
CHL_POW_1,P99,0.5424134090490895,2.685131721152125,5.662379627520458,True
CHL_POW_1,Std,0.0353088839928013,0.3023667510571837,0.6144601264880549,True
