Target,Metric,Baseline,095,080,065
CT_SW_TEMP_1,AbsMean,0.12531025928487136,0.22119427095098193,0.6422530054780285,1.2729042796922307
CT_SW_TEMP_1,RMS,0.27819030302745906,0.33371238522478347,0.7987061906182912,1.556500775963057
CT_SW_TEMP_1,P95,0.3506701114746121,0.510948032812497,1.366501543298346,2.758864971557613
CT_SW_TEMP_1,P99,0.8995109029296898,1.113443023803707,2.4845913085351548,4.981807080883794
CT_SW_TEMP_1,Std,0.27818451921107823,0.30650076201603704,0.5225264613432402,0.9197386654712013
CHL_SW_TEMP_1,AbsMean,0.06370501008203291,0.06650752642306587,0.06729348829738827,0.07066627788098176
CHL_SW_TEMP_1,RMS,0.16925249345462423,0.18168317967072345,0.1869746969390507,0.21275775889318801
CHL_SW_TEMP_1,P95,0.18530678682861562,0.1948973479858373,0.1955755544433586,0.20176033570556803
CHL_SW_TEMP_1,P99,0.49024552081055,0.5201192176123075,0.5306586049682578,0.5522996398291014
CHL_SW_TEMP_1,Std,0.16924446974687116,0.1816782455945015,0.1869721984565575,0.2127574665739814
CHL_RWCD_TEMP_1,AbsMean,0.11580188462914896,0.12861888226327609,0.2467144094548324,0.5272066517417484
CHL_RWCD_TEMP_1,RMS,0.2787819505746556,0.30223125700136133,0.5603616957846215,1.1391027030214649
CHL_RWCD_TEMP_1,P95,0.34487873671874564,0.49872084765624136,1.2489305097656223,2.4765250875732403
CHL_RWCD_TEMP_1,P99,0.937455453149408,1.1318356355224588,2.4537530561279275,4.993445702880857
CHL_RWCD_TEMP_1,Std,0.2787697084828442,0.3002974212280442,0.5243824081596835,1.0236871104721936
CHL_POW_1,AbsMean,2.583502616721504,2.601773808940523,2.7200163194041656,2.972311359492633
CHL_POW_1,RMS,7.792648005138013,7.828360417698658,8.135924189971123,8.778346569591701
CHL_POW_1,P95,6.6814840102472655,6.859371050456326,7.932773804165044,10.498174066796096
CHL_POW_1,P99,26.911042008474524,27.453455417523614,30.13858713867574,35.8009667661962
CHL_POW_1,Std,7.792356406858632,7.827665290851433,8.130032041908617,8.744492168396672
