Target,Metric,Delta,Ratio,Cohen_d
CT_SW_TEMP_1,AbsMean,1.1475940204073594,10.158021274207895,1.8454081192188299
CT_SW_TEMP_1,RMS,1.2783104729355979,5.5950935709265925,1.8454081192188299
CT_SW_TEMP_1,P95,2.4081948600830008,7.867408374087651,1.8454081192188299
CT_SW_TEMP_1,P99,4.082296177954104,5.53835096901899,1.8454081192188299
CT_SW_TEMP_1,Std,0.6415541462601231,3.3062180026392145,1.8454081192188299
CHL_SW_TEMP_1,AbsMean,0.006961267798948845,1.1092734745663617,-0.006271770057550871
CHL_SW_TEMP_1,RMS,0.043505265438563784,1.2570435717109676,-0.006271770057550871
CHL_SW_TEMP_1,P95,0.016453548876952412,1.0887908595175728,-0.006271770057550871
CHL_SW_TEMP_1,P99,0.062054119018551346,1.1265776358669302,-0.006271770057550871
CHL_SW_TEMP_1,Std,0.04351299682711024,1.2571014396641145,-0.006271770057550871
CHL_RWCD_TEMP_1,AbsMean,0.41140476711259943,4.552660377075099,0.6624503333975262
CHL_RWCD_TEMP_1,RMS,0.8603207524468093,4.085998755204283,0.6624503333975262
CHL_RWCD_TEMP_1,P95,2.1316463508544947,7.180857570795638,0.6624503333975262
CHL_RWCD_TEMP_1,P99,4.055990249731449,5.326595184982108,0.6624503333975262
CHL_RWCD_TEMP_1,Std,0.7449174019893494,3.6721604942066093,0.6624503333975262
CHL_POW_1,AbsMean,0.3888087427711291,1.1504967481954913,0.08476583622032649
CHL_POW_1,RMS,0.9856985644536875,1.12649083646583,0.08476583622032649
CHL_POW_1,P95,3.816690056548831,1.5712338831755408,0.08476583622032649
CHL_POW_1,P99,8.889924757721673,1.330344873116476,0.08476583622032649
CHL_POW_1,Std,0.9521357615380399,1.122188425660304,0.08476583622032649
