Sensor,Spearman,AbsSpearman
T50,-0.12793316698440002,0.12793316698440002
T48,-0.0913910082248592,0.0913910082248592
Nc,0.022910819261680225,0.022910819261680225
Wf,-0.022572100195705738,0.022572100195705738
T24,-0.01471543754549262,0.01471543754549262
P24,-0.009530302328333072,0.009530302328333072
T30,0.00829903533458701,0.00829903533458701
P15,-0.006673809066602081,0.006673809066602081
P21,-0.006673809066602081,0.006673809066602081
P50,-0.006482006289863609,0.006482006289863609
P2,-0.005570235878214123,0.005570235878214123
P40,0.002769611096111767,0.002769611096111767
Ps30,0.0015303054474466405,0.0015303054474466405
Nf,0.0014115817794258557,0.0014115817794258557
