feature,correlation,abs_correlation
CHL_COMP_SPD_CTRL_1,0.9938333849641628,0.9938333849641628
CWL_SEC_LOAD,0.9277984481235722,0.9277984481235722
CT_FAN_SPD_CTRL_1,0.8987748297799159,0.8987748297799159
CT_FAN_SPD_1,0.8987748297799159,0.8987748297799159
CT_POW_1,0.8947903726584223,0.8947903726584223
CHL_SWCD_TEMP_1,0.8910518020135403,0.8910518020135403
CT_RW_TEMP_1,0.890101808426863,0.890101808426863
CDWL_RW_TEMP,0.890050158809163,0.890050158809163
CHL_RWCD_TEMP_1,0.8020084518015184,0.8020084518015184
CDWL_SW_TEMP,0.8019284578971374,0.8019284578971374
CT_SW_TEMP_1,0.7873336269905322,0.7873336269905322
CWL_PRI_SW_TEMPSPT,-0.7766655658861746,0.7766655658861746
CHL_POW_2,0.7460460214065477,0.7460460214065477
CHL_SW_TEMP_1,-0.7449400968414411,0.7449400968414411
CWL_PRI_SW_TEMP,-0.7446903027248242,0.7446903027248242
CHL_COMP_SPD_CTRL_2,0.742166598631952,0.742166598631952
CT_SW_TEMPSPT,0.7093231187856751,0.7093231187856751
CT_FAN_SPD_CTRL_2,0.7082191916422161,0.7082191916422161
CT_FAN_SPD_2,0.7082191916422161,0.7082191916422161
CT_POW_2,0.6984952888133791,0.6984952888133791
