Target,Window,baseline_mean,baseline_std,baseline_p95,baseline_p99
CT_SW_TEMP_1,6h,0.022650568743963272,0.02547598581440445,0.07092504093399112,0.10220820394768515
CT_SW_TEMP_1,12h,0.024297732875735414,0.02391576968138066,0.06669928549918494,0.09288648916971255
CT_SW_TEMP_1,24h,0.02553079652303746,0.02261056799543954,0.06082696309215177,0.08380319678941894
CT_SW_TEMP_1,48h,0.026393449038608786,0.021632732792370258,0.05842984951204934,0.08084747885582474
CHL_SW_TEMP_1,6h,0.027755346027572805,0.03830787482814683,0.09928139996467941,0.16408754874278228
CHL_SW_TEMP_1,12h,0.030022582396321218,0.036567943500970104,0.09510066238827206,0.1637073542559348
CHL_SW_TEMP_1,24h,0.031860231001110156,0.03499996949692781,0.09321386417685398,0.14554853743562768
CHL_SW_TEMP_1,48h,0.033250198769988734,0.033727631591005794,0.08928124255402385,0.13986271116181756
CHL_RWCD_TEMP_1,6h,0.024484438991043356,0.031395980792597,0.08568792013963497,0.12169016097054877
CHL_RWCD_TEMP_1,12h,0.026288150137273807,0.02991053130305931,0.07998124597606984,0.11855933929142477
CHL_RWCD_TEMP_1,24h,0.027646236825001818,0.02867830779666832,0.0751882351826078,0.10136384493890428
CHL_RWCD_TEMP_1,48h,0.028741754848850568,0.02761938654721913,0.0727534967572965,0.09430120368730692
CHL_POW_1,6h,0.07832926289688609,0.11723583446607684,0.33712789569449697,0.4608019313797534
CHL_POW_1,12h,0.08698150731158512,0.11099705284685227,0.3132275783230007,0.3986620648547788
CHL_POW_1,24h,0.09293035534014693,0.10612971693984342,0.2886906202979358,0.3345154630476832
CHL_POW_1,48h,0.09606557278350326,0.10343215256993493,0.27644165483670097,0.31430042598425406
